Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
1,0.0007976,0.0009147,87.14,62.41,219.2
2,0.0002958,0.0008692,87.75,63.1,207.9
3,0.0002862,0.0008449,86.01,60.65,199.4
4,0.0002785,0.0008205,73.27,62.15,205.1
5,0.0002735,0.0008094,58.38,58.35,209.3
6,0.0002731,0.0008106,42.03,50.38,210.7
7,0.0002684,0.0008015,40.52,47.11,213.5
8,0.0002659,0.0007897,44.91,51.86,213.5
9,0.0002618,0.0007775,39.01,51.54,206.5
10,0.0002589,0.0007674,31.78,46.59,217.8
11,0.0002557,0.0007622,36.03,51.94,224.9
12,0.000253,0.000751,21.32,35.33,199.4
13,0.0002512,0.0007436,18.36,26.98,179.6
14,0.0002482,0.0007332,15.75,21.33,165.5
15,0.0002442,0.0007273,17.31,28.67,186.7
16,0.0002416,0.0007208,12.81,15.08,144.2
17,0.0002388,0.0007195,16.77,27.91,200.8
18,0.0002376,0.0007097,12.48,14.36,120.2
19,0.0002362,0.0007081,16.84,27.61,200.8
20,0.000235,0.0006956,12.04,13.46,118.8
21,0.0002332,0.0007018,13.81,19.68,189.5
22,0.0002338,0.0006979,11.24,14.73,168.3
23,0.0002317,0.0006838,12.45,15.72,171.1
24,0.0002273,0.0006809,11.46,12.62,107.5
25,0.0002258,0.0006738,11.58,13.62,130.1
26,0.0002238,0.0006654,11.76,15.66,164
27,0.0002215,0.0006607,11.17,15.2,161.2
28,0.0002225,0.0006664,10.63,13.18,161.2
29,0.0002205,0.0006524,10.44,12.1,98.99
30,0.0002173,0.0006466,9.832,11.34,101.8
31,0.0002154,0.0006401,10.27,15.11,166.9
32,0.0002116,0.000632,10.18,13.57,128.7
33,0.000209,0.0006267,10.65,13.05,117.4
34,0.00021,0.0006221,10.31,11.83,80.61
35,0.0002065,0.0006147,10.21,12.79,124.5
36,0.0002095,0.0006417,10.53,15.16,154.1
37,0.0002091,0.0006248,10.41,12.67,76.37
38,0.0002071,0.0006139,10.21,12.47,73.54
39,0.0002045,0.000609,10.19,13.65,79.2
40,0.0002068,0.0006115,9.337,11.12,66.47
41,0.0002014,0.0006027,10.4,13.86,97.58
42,0.0001989,0.0006111,11.24,16.28,97.58
43,0.000202,0.0005966,9.648,14.01,87.68
44,0.000198,0.0005929,9.45,12.27,74.95
45,0.0001987,0.0005847,9.889,12.81,79.2
46,0.0001962,0.000586,9.185,12.03,79.2
47,0.0001916,0.0005771,8.977,11.3,76.37
48,0.0001889,0.0005786,9.394,11.58,76.37
49,0.0001858,0.000572,9.086,12.78,77.78
50,0.0001848,0.0005728,9.638,12.48,79.2
51,0.0001872,0.0005652,9.938,15.15,80.61
52,0.0001824,0.0005624,9.072,13.15,91.92
53,0.0001813,0.0005619,9.214,13.69,82.02
54,0.0001836,0.000553,8.959,14.19,79.2
55,0.0001821,0.0005522,8.832,14.04,84.85
56,0.0001777,0.0005511,8.945,13.76,79.2
57,0.0001774,0.0005511,9.96,15.71,84.85
58,0.0001751,0.0005431,8.666,14.64,86.27
59,0.0001727,0.0005281,9.196,14.87,86.27
